Number;Storage;Name;Est.;Country;Type;ABV;Vol;Date
523;Big brown;Young's London Special;1831;UK;beer;6.4;500;11/08/2020
361;Big brown;Road Crew;;UK;American pale ale;5;330;18/08/2019
532;Big brown;Lost and Grounded;;UK;Keller pilsner;4.8;330;06/09/2020
533;Big brown;Curious Brew;;UK;lager;4.7;330;10/09/2020
534;Big brown;Gold Top;;UK;golden pale ale;4.3;500;10/09/2020
549;Big brown;Wimbledon;;UK;lager;4.8;330;12/10/2020
557;Big brown;Wimbledon;;UK;pale ale;4.2;330;29/10/2020
496;Big brown;Buxton Brewery Jacob's Ladder;;UK;table beer;2.8;330;25/05/2020
719;Big brown;Buxton Brewery Ace Edge;;UK;IPA;6.8;330;18/09/2021
;Big brown;Kingfisher;1857;UK;lager;5;500;14/02/2014
559;Big brown;Kingfisher;1857;UK;lager;5;660;03/11/2020
;Big brown;Newcastle;1927;UK;brown ale;4.7;550;
440;Big brown;Newcastle;1927;UK;brown ale;4.7;550;06/01/2020
659;Big brown;Hobsons Pass the Smile;;UK;amber;4.1;500;27/06/2021
660;Big brown;Utopian;;UK;dunkel;5.4;440;29/06/2021
208;Big brown;Shepherd Neame;1698;UK;stout;5.2;500;29/07/2018
;Big brown;Bishop Finger;1958;UK;Kentish strong;5.4;500;16/03/2014
258;Big brown;Shepherd Neame;1698;UK;Christmas ale;7;500;01/12/2018
;Big brown;Master Brew;1698;UK;Kentish ale;4;500;
661;Big brown;Wild Card;;UK;table beer;2.7;500;30/06/2021
664;Big brown;Moor Claudia;2007;UK;wheat;4.5;330;03/07/2021
667;Big brown;Obsessed with Bru-1;;UK;pale ale;4.5;440;13/07/2021
552;Big brown;Wandle;;UK;best bitter;3.8;500;20/10/2020
675;Big brown;Thornbridge AM:PM;2005;UK;session IPA;4.5;330;12/08/2021
718;Big brown;Thornbridge Jaipur;2005;UK;IPA;5.9;330;13/09/2021
673;Big brown;Whitstable Bay;;UK;ruby ale;4.5;500;09/08/2021
720;Big brown;Whitstable Bay;;UK;pale ale;3.9;500;19/09/2021
721;Big brown;Shipyard;;UK;American IPA;5;500;19/09/2021
725;Big brown;The Cranborne Poacher;;UK;ruby ale;5.7;500;05/10/2021
726;Big brown;Bear Island;;UK;pale ale;4.8;500;12/10/2021
728;Big brown;Velocirapture;;UK;DIPA;8.5;500;18/10/2021
764;Big brown;Dark Star Hophead;;UK;golden ale;3.8;500;
736;Big brown;Wild IPA;;UK;IPA;5.2;500;29/10/2021
737;Big brown;Green Duck Remedy;;UK;session IPA;4;440;30/10/2021
744;Big brown;London Beer Factory Jungle Trip;;UK;NEPA;5.3;440;19/11/2021
741;Big brown;Fortnum's English Red Ale;;UK;red ale;4;500;13/11/2021
742;Big brown;Fortnum's Christmas Ale;;UK;Christmas ale;5;500;13/11/2021
743;Big brown;Fortnum's India Pale Ale;;UK;IPA;5;500;13/11/2021
745;Big brown;Fortnum's Pilsner;;UK;pilsner;5;330;22/11/2021
738;Big brown;Proper Job;1851;UK;IPA;5.5;500;31/10/2021
747;Big brown;Mena Dhu;1851;UK;stout;4.5;500;27/11/2021
748;Big brown;Tis the Saison;;UK;saison;5;330;30/11/2021
749;Big brown;Battle of Britain;;UK;amber ale;5;330;02/12/2021
1388;Big brown;Siren Fire & Stars;;UK;smoked porter;5.7;440;14/02/2024
562;Big brown;Siren Coldblooded;;UK;porter;5;440;08/11/2020
733;Big brown;Siren Flying Lanterns;;UK;red IPA;5.8;440;26/10/2021
765;Big brown;Siren Lumina;;UK;session IPA;4.2;440;19/01/2022
766;Big brown;Welsh Cake;;UK;stout;4.8;500;25/01/2022
798;Big brown;Samuel Smith Taddy Porter;;UK;porter;5;355;17/03/2022
834;Big brown;Fierce hazy IPA;;UK;hazy IPA;5;330;03/05/2022
836;Big brown;Orbit Hakata;;UK;pale ale;4.9;330;06/05/2022
837;Big brown;Grilla;;UK;hazy pale ale;5;330;06/05/2022
841;Big brown;Beavertown Heavy Gravity;;UK;hazy IPA;6.5;440;07/05/2022
842;Big brown;Platinum Jubilee Ale;;UK;ale;5;660;08/05/2022
844;Big brown;Portobello Star;;UK;amber ale;4.3;500;09/05/2022
846;Big brown;The Kernel;;UK;pale ale;5.4;330;11/05/2022
230;Big brown;The Duke of Dank;2013;UK;red IPA;6.3;330;08/09/2018
232;Big brown;End of Level Boss;;UK;double IPA;9.2;330;12/09/2018
1303;Big brown;Vocation Volumes Sprinkly & Squeeze;;UK;sour;4.2;440;21/10/2023
1038;Big brown;Strongbow red berries;;UK;cider;4.5;330;21/01/2023
1301;Big brown;Bulmers Red Berries & Lime;;UK;cider;4;500;21/10/2023
233;Big brown;Northern Monk Double Peanut Butter & Jelly;;UK;exactly what it says;10;330;12/09/2018
1033;Big brown;Northern Monk Jesus Christ he is massive;;UK;DDHIPA;7.2;440;16/01/2023
1070;Big brown;Northern Monk Festive Star;;UK;Christmas;5.2;440;09/02/2023
1249;Big brown;Northern Monk Deadbeat;;UK;DDHIPA;7.4;440;26/08/2023
1373;Big brown;Northern Monk The Prodigal Son;;UK;DIPA;8.2;440;20/01/2024
1374;Big brown;Northern Monk Fudge Sundaze;;UK;pastry stout;8.4;440;20/01/2024
1325;Big brown;Stormtrooper Sadow Stout;;UK;stout;6.6;330;15/11/2023
