Number,Storage,Name,Est.,Country,Type,ABV,Date,Memory,,git repo,,
385,Big brown,Spitfire,,UK,amber ale,4.5,04/10/2019,Friday chill,,,,
386,Big brown,The Fursty Ferret,,UK,amber ale,4.4,05/10/2019,Kerbal Space Program,,,,
389,Big brown,Doom Bar,,UK,amber ale,4.3,10/10/2019,Julia's farewell Moroccan dinner 2/2,,,,
481,Big brown,Brakspear Oxford Gold,1779,UK,golden ale,4.6,23/03/2020,Prăjiți stream,,,,
,Big brown,Brakspear Bitter,1779,UK,bitter,3.4,30/05/2015,Barbecue after exam,,,,
383,Big brown,Maltsmiths,,UK,pilsner,4.6,30/09/2019,Moved into new home in London,,,,
394,Big brown,Innis & Gunn Blood Red Sky,,UK,red ale,6.8,18/10/2019,Sleepover in Glasgow 2/4,,,,
1153,Big brown,Innis & Gunn Caribbean Run Cask,,UK,red beer,6.8,26/04/2023,Hopfen+Malz w/ THeo & Ludi 5/5,,,,
,Big brown,McEwan’s Champion,1856,UK,ale,7.3,07/03/2017,Re-watching LotR after labs,,,,
397,Big brown,McEwan’s Champion,1856,UK,ale,7.3,18/10/2019,Sleepover in Glasgow 4/4,,,,
399,Big brown,Camden Hells,,UK,lager,4.6,22/10/2019,Beef stout chilli night,,,,
402,Big brown,Camden Hells,,UK,lager,4.6,06/11/2019,Antoni's viva party,,,,
,Big brown,Tiger,1932,UK,lager,5,,,,,,
,Big brown,Worcester Sorcerer,,UK,bitter,4.3,,,,,,
,Big brown,Trooper,,UK,beer,4.7,03/03/2014,Reading about Ukraine & Russia,,,,
,Big brown,Trooper,,UK,beer,4.7,,Clara thought I’d never drunk it. Hah.,,,,
213,Big brown,Trooper Hallowed,,UK,British  Belgian,6,06/08/2018,La Citadelle (pt. 1),,,,
404,Big brown,Trooper 666,,UK,beer,6.6,15/11/2019,Shisha. Joker. Friday evening 1/3,,,,
405,Big brown,Trooper Sun and Steel,,UK,sake lager,4.8,15/11/2019,Shisha. Joker. Friday evening 2/3,,,,
406,Big brown,Trooper Light Brigade,,UK,golden,4.1,15/11/2019,Shisha. Joker. Friday evening 3/3,,,,
407,Big brown,Trooper Red 'n' Black,,UK,porter,6.8,24/11/2019,Once Upon a Time in Hollywood,,,,
456,Big brown,Trooper,,UK,beer,4.7,01/02/2020,0202/2020,,,,
954,Big brown,Trooper The Number of the Beast,,UK,beer,4.7,29/10/2022,Table cu Coandã 2/2,,,,
413,Big brown,Black Sheep,1992,UK,amber ale,4.4,06/12/2019,Sf. Nicolae Friday night,,,,
414,Big brown,Heritage,1799,UK,vintage ale,6.5,06/12/2019,Gift from Francesco,,,,
411,Big brown,Butty Bach,1985,UK,ale,4.5,04/12/2019,Marking article plans. RK WG pre-approval,,,,
418,Big brown,St. Peter's Best Bitter,,UK,bitter ale,4.1,10/12/2019,Descent of Dragons,,,,
419,Big brown,St. Peter's Gatekeeper,,UK,golden ale,4.7,10/12/2019,Sapsi pro Jedi Fallen Order stream,,,,
476,Big brown,St. Peter's Ruby Red,,UK,ruby ale,4.3,08/03/2020,Lamb stew,,,,
477,Big brown,St. Peter's Best Bitter,,UK,bitter ale,3.7,08/03/2020,Shisha with ză Regie,,,,
480,Big brown,St. Peter's English Pale Ale,,UK,EPA,3.8,11/03/2020,Utopia finale,,,,
289,Big brown,St. Peter's Suffolk Gold,,UK,golden ale,4.9,19/02/2019,Watching the full Moon illuminate the misty sky & the snow on the Juras. Sorting the Amsterdam hoard listening to The Doors.,,,,
964,Big brown,St. Peter's Whisky Beer,,UK,whisky beer,4.8,07/11/2022,Practice & chill,,,,
561,Big brown,Vocation Bigger Boat,2015,UK,hazy pale ale,4,07/11/2020,Cycle & steak,,,,
438,Big brown,Fuller's 1845,1845,UK,ale,6.3,02/01/2020,Back in London,,,,
444,Big brown,Bengal Lancer,1845,UK,IPA,5,16/01/2020,"Shisha w/ new coals, Skype with parents",,,,
448,Big brown,ESB,1845,UK,ale,5.9,19/01/2020,The end of a very good week,,,,
451,Big brown,Ram Rod,,UK,ale,5,15/01/2020,The Hole in the Wall w/ Mădă & friends,,,,
228,Big brown,Razorback,,UK,amber ale,3.6,04/09/2018,Poster session,,,,
,Big brown,Forty Niner,,UK,golden,4.9,,,,,,
453,Big brown,Old Thumper,,UK,ale,5.1,26/01/2020,Spaghetti meatballs & shisha Sunday,,,,
,Big brown,Medusa,,UK,amber,5,,,,,,
442,Big brown,Hog's Back RIP Snorter,,UK,amber ale,5,12/01/2020,Creative process,,,,
462,Big brown,Hog's Back Gardener's Tipple,,UK,beer,4,13/02/2020,50 years of metal,,,,
472,Big brown,Hog's Back T.E.A.,,UK,ale,4.2,24/02/2020,The Clone Wars season 7,,,,
396,Big brown,St. Mungo,,UK,,4.9,18/10/2019,Sleepover in Glasgow 3/4,,,,
484,Big brown,Wiper and True,,UK,pale ale,4,17/04/2020,HEP student virtual seminar,,,,
485,Big brown,Cross Borders,,UK,session IPA,4.2,18/04/2020,Zoom with the HEP cohort,,,,
486,Big brown,Braybrooke,,UK,keller lager,4.8,19/04/2020,Garden shisha,,,,
487,Big brown,Canopy,,UK,saison,5.5,22/04/2020,A remarkably good day,,,,
488,Big brown,Arbor C Bomb,,UK,citra pale ale,4.7,01/05/2020,1 mai s-aveț,,,,
489,Big brown,Gloucester Gold,2011,UK,golden,3.9,05/05/2020,Revenge of the Fifth,,,,
490,Big brown,Moonstrips,,UK,smoky wheat,5,08/05/2020,VE day outside,,,,
491,Big brown,Repeater,,UK,session IPA,4.2,16/05/2020,Vinland Saga,,,,
479,Big brown,Korev,1851,UK,lager,4.8,10/03/2020,The Road to El Dorado,,,,
492,Big brown,Lost Pier,,UK,session pale ale,3.4,20/05/2020,Hot admin day,,,,
493,Big brown,Brew by Numbers 11,,UK,session IPA,4.2,21/05/2020,HEP virtual quiz,,,,
553,Big brown,Brew by Numbers 23,,UK,keller pilsner,5,20/10/2020,Flori life advice,,,,
505,Big brown,Skull Splitter,1988,UK,ale,8.5,17/06/2020,Hearthstone Demon Hunter adventure,,,,
506,Big brown,Red MacGregor,1988,UK,ruby ale,4,21/06/2020,Summer solstice fried chicken,,,,
507,Big brown,Dark Island,1988,UK,dark ale,4.6,22/06/2020,Heatwave backgammon,,,,
,Big brown,Dragonhead,1988,UK,stout,4,,,,,,
508,Big brown,Puffin Ale,1988,UK,ale,4.5,23/06/2020,Inaugurating the new bike wheel,,,,
509,Big brown,Raven Ale,1988,UK,golden ale,3.8,29/06/2020,Para's last stream,,,,
510,Big brown,Clootie Dumpling,1988,UK,tawny ale,4.3,01/07/2020,Jackbox pe Discord,,,,
